title,permalink,content,date
Memes,http://resistancefutile.com/2006/04/21/memes/,"<img style=""float:right; margin:0 0 10px 10px;"" src=""http://photos1.blogger.com/blogger/6639/1972/320/spaceballs.jpg"" border=""0"" alt="""" />Nunca había participado en un meme y sin embargo en esta semana: llevo 3!! Primero la que inció <a href=""http://eltercero.blogsome.com/2006/04/17/que-widgets-usas/"">eltercero</a> con los <a href=""http://resistancefutile.blogspot.com/2006/04/mi-dashboard.html"">dashboards</a>, luego ALT1040 nos informaba que para el nuevo blog de software que prepara hipertextual se había creado un grupo de flickr (<a href=""http://resistancefutile.blogspot.com/2006/04/bitlicos.html"">Bitélicos</a>) a modo de meme de escritorio y finalmente <span style=""font-weight:bold;"">Jerome</span> de <a href=""http://porfinesviernes.blogsome.com/2006/04/20/meme-10-comedias-geniales/"">Por fin es viernesss!!!</a> se acuerda de mí en un meme de las tradicionales: 10 comedias geniales. Antes que nada aclarar que quizás no seria mi género favorito, por lo que la calidad de las pelis no va ser muy buena, pero de lo que estoy seguro es que en todas ellas reí mushísimo, en fin, ahí va:
<ul>
<li><a href=""http://www.imdb.com/title/tt0094012/"">La loca historia de las galaxias (Spaceballs)</a></li>
<li><a href=""http://www.imdb.com/title/tt0119822/"">Mejor Imposible</a></li>
<li><a href=""http://www.imdb.com/title/tt0129387/"">Algo pasa con Mary</a></li>
<li><a href=""http://www.imdb.com/title/tt0118715/"">El gran Lebowski</a></li>
<li><a href=""http://www.imdb.com/title/tt0098987/"">Las aventuras de Ford Fairlane, el detective rockandrollero</a></li>
<li><a href=""http://akas.imdb.com/title/tt0079470/"">La vida de Brian</a></li>
<li><a href=""http://www.imdb.com/title/tt0212338/"">Los padres de ella</a></li>
<li><a href=""http://www.imdb.com/title/tt0256524/"">La maldición del escorpión de jade</a></li>
<li><a href=""http://www.imdb.com/title/tt0119528/"">Mentiroso Compulsivo</a></li>
<li><a href=""http://www.imdb.com/title/tt0107048/"">Atrapado en el Tiempo (Groundhog day)</a></li>
</ul>
Y ahora me toca pasar la meme a tres <s>víctimas</s> voluntarios más, venga pues elijo a <span style=""font-weight:bold;"">Albert Gallego</span> de <a href=""http://algasa.blogspot.com/"">Cartas desde Ningún Lugar</a> (aplauso), <span style=""font-weight:bold;"">Hugo</span> de <a href=""http://solo.infames.org/"">Solo otro Blog Infame</a> (aplauso) y <span style=""font-weight:bold;"">Vedia</span> de <a href=""http://vediablog.com/"">El reflejo caótico de mi mente demente</a> (aplauso).

(fundido en negro).",20060421
"I've walked ""Las Ramblas"", but not with real inten...",http://resistancefutile.com/2006/04/24/ive-walked-las-ramblas-but-not-with-real-inten/,"<p class=""chorus"">I've walked ""Las Ramblas"", but not with real intent

And if you tolerate this then your children will be next</p><p align=""right"">-- <a href=""http://www.last.fm/music/Manic+Street+Preachers/_/If+You+Tolerate+This+Your+Children+Will+Be+Next"">If you tolerate this your children will be next</a>, Manic Street Preachers</p>",20060424
"El peso de los Software Updates",http://resistancefutile.com/2006/04/25/el-peso-de-los-software-updates/,"<a href=""http://docs.info.apple.com/article.html?artnum=25799""><img style=""float:right; margin:0 0 10px 10px;cursor:pointer; cursor:hand;"" src=""http://photos1.blogger.com/blogger/6639/1972/320/airport43.jpg"" border=""0"" alt="""" /></a>Hace tiempo, en <a href=""http://www.thinkwasabi.com/2006/04/03/cosas-y-locuras-de-las-configuraciones/"">Think Wasabi</a>, tanto el autor como yo nos preguntábamos porqué sería que dependiendo del Mac que se actualizase, esta actualización ocupaba más o menos tamaño. Pues hace días encontré la explicación vía <span style=""font-weight:bold;"">popurls</span> y en la <span style=""font-weight:bold;"">TUAW</span> también enlazan esta explicación oficial del <a href=""http://docs.info.apple.com/article.html?artnum=25799"">Knowledge Base de Apple</a>.

Así pues la historia radica en los componentes que se pueden updatear parcialmente reemplazando pequeños módulos y los que tienen que ser reemplazados por completo, esto varía dependiendo de la configuración básica de cada equipo y sobretodo debido al software que se haya instalado de <span style=""font-style:italic;"">third-parties</span> que afecte al sistema operativo. Por tanto más que hardware, es software el principal motivo del cambio de tamaño.

(Vía <a href=""http://www.tuaw.com/2006/04/24/apple-kb-article-why-software-updates-vary-in-size/"">TUAW</a>)",20060424
"Ego crecido",http://resistancefutile.com/2006/04/26/ego-crecido/,"Éste post rebosa soberbia por todos lados, pero que me enlacen dos posts el mismo día dos fenómenos mediáticos como son <a href=""http://www.microsiervos.com/archivo/musica/itunes-statistician.html"">Alvy</a> y <a href=""http://www.alt1040.com/archivo/2006/04/25/linspire-ahora-es-gratis-freespire/"">Eduardo</a>, para mí es motivo de orgullo y de una gran satisfacción.

Hoy es de esos días en que todo sale bien: la subida a producción en el curro ha ido bien (o almenos no me han llamado lo cual es buena señal), ha salido el nuevo CD del <a href=""http://www.brucespringsteen.net/site.html"">Boss</a> (ya lo he comprado en la <a href=""http://es.wikipedia.org/wiki/ITunes_Music_Store"">iTMS</a>, sorry no he podido contenerme), hay posibilidades (remotas, muy remotas) que consiga entradas para el concierto en Badalona, mi proyección blogosférica continúa, creo que me compraré un par de T-shirts geek en <a href=""http://www.threadless.com/"">Threadless</a> un día de éstos, mañana es la semifinal de la Champions: birra y amigotes en el bar...

Que alguien me pegue una bofetada, debo estar soñando.",20060425
"El reloj de agua",http://resistancefutile.com/2006/04/26/el-reloj-de-agua/,"<a href=""http://photos1.blogger.com/blogger/6639/1972/1600/waterclock.jpg""><img style=""float:right; margin:0 0 10px 10px;cursor:pointer; cursor:hand;"" src=""http://photos1.blogger.com/blogger/6639/1972/320/waterclock.jpg"" border=""0"" alt="""" /></a>Se puede adquirir en <a href=""http://www.thinkgeek.com/homeoffice/lights/757e/"">Thinkgeek</a> y se trata de un reloj que funciona única y exclusivamente con agua. Sí, sí, tal cual, agua y nada más. Cito de la fuente el principio de funcionamiento del reloj: <blockquote>Magia. Y un poco de ciencia. El conversor interno simplemente extrae electrones de las moléculas de agua y proporciona un flujo contínuo de electricidad hacia la batería para generar tensión y alimentar el reloj.</blockquote>
Con lo que si llegamos tarde al trabajo, no diremos que el despertador no tenía <span style=""font-style:italic;"">pilas</span>, sino que el despertador no tenía <span style=""font-weight:bold;"">agua</span> lo que sin duda és una excusa más original, pero  según quien lo oiga puede propiciar que nos ingresen en el sanatorio mental más cercano.",20060425
"Reportaje de Newsweek, año 1984",http://resistancefutile.com/2006/04/26/reportaje-de-newsweek-ano-1984/,"<a href=""http://toastbucket.com/apple1984ad/index.html""><img style=""float:right; margin:0 0 10px 10px;cursor:pointer; cursor:hand;"" src=""http://photos1.blogger.com/blogger/6639/1972/320/helloMacres.jpg"" border=""0"" alt="""" /></a>Corría el año <span style=""font-weight:bold;"">1984 </span>cuando <a href=""http://www.newsweekespanol.com.mx/"">Newsweek</a> (versión inglesa) publicó un extenso artículo de 16 páginas sobre un ordenador nuevo llamado <span style=""font-weight:bold;"">Macintosh</span>.

Pues hace unos días <span style=""font-weight:bold;"">alguien</span> que sabe que me encantan estas cosas como todo buen maquero me enviaba por correo <a href=""http://toastbucket.com/apple1984ad/index.html"">esta URL con todo el reportage</a> íntegro. Vale la pena para poder observar qué prestaciones y qué suponía el lanzamiento del primer Macintosh, un ordenador de consumo y para poder ver un tal <a href=""http://toastbucket.com/apple1984ad/p10.html"">Bill Gates</a> que estaba por ahí  ya como CEO de Microsoft.

(Gracias <a href=""http://solo.infames.org/"">Hugo</a>!)

<span style=""font-weight:bold;"">Actualización</span>: Acabo de ver en <a href=""http://www.applesfera.com/2006/04/25-el-primer-anuncio-del-mac-orig.php"">AppleSfera</a>  que <a href=""http://cuatrodoce.blogsome.com"">Pedro</a> ha publicado lo mismo y aportando más información. Siento repetirme :P",20060426
"Explorer Destroyer",http://resistancefutile.com/2006/04/26/explorer-destroyer/,"<img style=""float:right; margin:0 0 10px 10px;"" src=""http://photos1.blogger.com/blogger/6639/1972/320/resized.0.jpg"" border=""0"" alt="""" />Se ha iniciado una iniciativa para provocar el switch de IE a Firefox, en <a href=""http://www.explorerdestroyer.com/"">ExplorerDestroyer</a> te dan dinero por cada switcher que consigas: 1$. La idea es que mediante un script invites a los lectores de tu blog/site a hacer el switch. Hay 3 niveles de persuasión: recomendación pudiendo ver el site igualmente, recomendación con link hacia el site y adevertencia de que si no instalan firefox no verán el site con botón de download de firefox directamente.

También hay un site hermano llamado <a href=""http://www.killbillsbrowser.com/"">Kill Bill's Browser</a>, dónde nos dan 13 razones peara hacer el switch (poned especial atención a la octava, no tiene desperdicio). Tampoco os perdáis <a href=""http://www.bitstorm.org/gates/creamedgates.mpg"">este vídeo de un tortazo al señor Gates</a> (Quicktime).

Me parece un poco fuerte y eso que como sabéis ya, soy un defensor acérrimo del <s>zorro</s> <a href=""http://en.wikipedia.org/wiki/Red_Panda"">RedPanda</a> y es mi navegador por defecto tanto en Mac como en Win.

(Vía <a href=""http://www.macworld.co.uk/news/index.cfm?RSS&NewsID=14466"">MacWorld</a>)",20060426
"Ceux sont les meilleurs equipes,
Es sind die aller...",http://resistancefutile.com/2006/04/26/ceux-sont-les-meilleurs-equipeses-sind-die-aller/,"<p class=""chorus"">Ceux sont les meilleurs equipes,
Es sind die aller besten
Mannschaften, the main event.
Die Meister, die Besten,
les meilleurs equipes, the champions.
Les grandes et les meilleurs!
Eine grosse stattliche
Veranstaltung, the main event:
These are the men,
Sie sind die Besten,
These are the champions!
Die Meister, die Besten,
les meilleurs equipes, the champions.
Die Meister, die Besten,
les meilleurs equipes, the champions.</p><p align=""right"">-- himno de la Champions League de fútbol</p>

(Vía <a href=""http://alchapar.blogsome.com/2006/04/26/noches-de-champions/"">::el otro blog::</a>)",20060426
"Sí!Sí!Sí! Nos vamos a París!-- Cántico de la afici...",http://resistancefutile.com/2006/04/26/sisisi-nos-vamos-a-paris-cantico-de-la-afici/,"<p class=""frase"">Sí!Sí!Sí! Nos vamos a París!</p><p align=""right"">-- <a href=""http://www.lavanguardia.es/web/20060426/51255284741.html"">Cántico de la afición blaugrana, hoy.</a></p>",20060426
"100 curiosidades científicas curiosas",http://resistancefutile.com/2006/04/27/100-curiosidades-cientificas-curiosas/,"Me encantan los recopilatorios de curiosidades. No sé porqué pero me quedaría leyendo y leyendo hasta el infinito, además cuando llevo léidas más de 5 ya mi nivel de incredulidad va en aumento hasta que pongo en duda cualquiera que venga en lo sucesivo,  puede poner 2+2=4, pero yo automáticamente pienso, bueno 2+2=5 para valores grandes de 2. En fin, en <a href=""http://www.astroseti.org/vernew.php?codigo=2160"">este artículo</a> se recogen 100 de estas curiosidades científicas curiosas:

<blockquote>- El termómetro fue inventado en 1607 por Galileo.
- El inglés Roger Bacon inventó la lupa en 1250. 
- La envergadura de un Boeing 747 es superior que la longitud del primer vuelo de los hermanos Wright.
- Una anguila eléctrica puede producir una descarga superior a los 650 voltios. 
- En el cuerpo humano hay 96 560 Km. de vasos sanguíneos.
- Una célula sanguínea tarda 60 segundos en completar su recorrido por el cuerpo. </blockquote>

(Vía <a href=""http://zifra.blogalia.com//historias/39464"">Cambalache</a>)",20060427
